001,"No.07,LuoJiaShan Road",Mei Yuan,30.5189,114.34
002,"No.3,XingHu Road",Xin Bu,30.6092,114.284
003,"No.81,LuoNan Road",Dong Hu,30.5931,114.312
004,"No.1-2010,FengYuan Road",Feng Yuan,30.5452,114.267
005,"No.107,HongShan Road",Dong Hu,30.6008,114.321
006,"No.1-2018,FengYuan Road",Feng Yuan,30.558,114.272
007,"No.06-01,LuoNan Road",Xin Bu,30.6127,114.291
008,"No.299,Bayi Road",Feng Yuan,30.5513,114.262
009,"No.300,Bayi Road",Feng Yuan,30.5564,114.279
010,"No.06-2014,Bayi Road",Mei Yuan,30.5226,114.333
011,"No.01-03,LuoNan Road",Gong Xue Bu,30.5245,114.356
012,"No.12-01,LuoNan Road",Dong Hu,30.5895,114.319
013,"No.11-09,LuoNan Road",Xin Bu,30.6283,114.307
014,"No.113,GuangDuDun Road",Gong Xue Bu,30.5282,114.352
015,"No.25,HongShan Road",Dong Hu,30.5976,114.327
