"No.12-01,LuoNan Road",2255.4379047030934
"No.81,LuoNan Road",2344.566346667087
"No.300,Bayi Road",3114.3456363272294
"No.25,HongShan Road",3446.2058770408294
"No.107,HongShan Road",3449.7441011607984
"No.1-2018,FengYuan Road",3564.0828317170235
"No.3,XingHu Road",4520.740597351586
"No.06-01,LuoNan Road",4618.8259425506985
"No.299,Bayi Road",4780.213265420234
"No.1-2010,FengYuan Road",4796.192044786444
"No.11-09,LuoNan Road",6151.190490102326
"No.06-2014,Bayi Road",6204.437441459654
"No.113,GuangDuDun Road",6732.974649881461
"No.07,LuoJiaShan Road",6895.810002914373
"No.01-03,LuoNan Road",7275.847039075739
